iter	Accuracy	Logloss
0	0.7811447811	0.624290389
1	0.803030303	0.5563904153
2	0.803030303	0.5209607336
3	0.8063973064	0.4858125395
4	0.8114478114	0.4675877177
5	0.8131313131	0.457154691
6	0.8249158249	0.4375494994
7	0.82996633	0.4262679929
8	0.8367003367	0.4079289516
9	0.8383838384	0.4024780972
10	0.8417508418	0.3984942757
11	0.8434343434	0.3891056666
12	0.8501683502	0.3831148272
13	0.8585858586	0.3753119835
14	0.861952862	0.374084058
15	0.861952862	0.3704940036
16	0.8653198653	0.3657353537
17	0.867003367	0.360683191
18	0.867003367	0.3591879539
19	0.8703703704	0.3508346322
20	0.8737373737	0.3487297834
21	0.8686868687	0.3436254525
22	0.8703703704	0.3368347877
23	0.8771043771	0.3333490017
24	0.8804713805	0.3327855455
25	0.8804713805	0.3297692524
26	0.8838383838	0.3215785974
27	0.8838383838	0.3210416833
28	0.8838383838	0.32094514
29	0.8838383838	0.3197401514
30	0.8838383838	0.3188591456
31	0.8838383838	0.3155412771
32	0.8855218855	0.3130436579
33	0.8855218855	0.3130436431
34	0.8855218855	0.3108494772
35	0.8872053872	0.3071787247
36	0.8855218855	0.306212548
37	0.8855218855	0.3013795404
38	0.8973063973	0.2969243268
39	0.898989899	0.2964830132
40	0.9006734007	0.2941178706
41	0.9023569024	0.2905061196
42	0.9006734007	0.2890583231
43	0.9023569024	0.286397804
44	0.898989899	0.2837109483
45	0.9074074074	0.2813849414
46	0.9090909091	0.2799554678
47	0.9107744108	0.2791465934
48	0.9124579125	0.2758473634
49	0.9090909091	0.2737077199
50	0.9074074074	0.2724554279
51	0.9107744108	0.2713171628
52	0.9124579125	0.2654898891
53	0.9141414141	0.2634610092
54	0.9124579125	0.2619922446
55	0.9141414141	0.2605354439
56	0.9158249158	0.2583296062
57	0.9158249158	0.255621807
58	0.9141414141	0.2549009777
59	0.9158249158	0.2535627665
60	0.9175084175	0.2516993165
61	0.9175084175	0.2497628407
62	0.9175084175	0.2485623418
63	0.9191919192	0.2475357338
64	0.9191919192	0.2462099855
65	0.9191919192	0.2450918748
66	0.9242424242	0.2431012191
67	0.9259259259	0.242714167
68	0.9242424242	0.2406564993
69	0.9259259259	0.2390015909
70	0.9259259259	0.2370662912
71	0.9276094276	0.2350501977
72	0.9276094276	0.2346888182
73	0.9259259259	0.2332270536
74	0.9292929293	0.2298271369
75	0.9292929293	0.2281907022
76	0.9259259259	0.2269561721
77	0.930976431	0.2260004927
78	0.9343434343	0.2236810617
79	0.9326599327	0.2201108655
80	0.9343434343	0.2182501445
81	0.9343434343	0.2179082231
82	0.9343434343	0.21722539
83	0.936026936	0.2151952042
84	0.936026936	0.2147243175
85	0.936026936	0.2122790363
86	0.936026936	0.2104415792
87	0.9377104377	0.2091144764
88	0.9377104377	0.2083661153
89	0.9377104377	0.2067662758
90	0.9377104377	0.20481389
91	0.9393939394	0.2028158039
92	0.9410774411	0.2019133341
93	0.9427609428	0.1986523684
94	0.9427609428	0.1979670835
95	0.9427609428	0.1967168376
96	0.9444444444	0.194396314
97	0.9461279461	0.192927534
98	0.9461279461	0.1906879722
99	0.9461279461	0.1894796252
100	0.9478114478	0.1877862054
101	0.9511784512	0.185855199
102	0.9562289562	0.1826896537
103	0.9562289562	0.1812698117
104	0.9579124579	0.1808763933
105	0.9562289562	0.1805217705
106	0.9579124579	0.1797413527
107	0.9579124579	0.1779830408
108	0.9579124579	0.1766001845
109	0.9595959596	0.1753256849
110	0.9595959596	0.1747981767
111	0.9612794613	0.172238178
112	0.9612794613	0.1703074365
113	0.9612794613	0.1689910642
114	0.9612794613	0.1672218616
115	0.9612794613	0.1667097589
116	0.9612794613	0.1650210304
117	0.9612794613	0.1647917393
118	0.962962963	0.1632044769
119	0.962962963	0.162307834
120	0.962962963	0.1610614344
121	0.9612794613	0.1585908628
122	0.9612794613	0.1578183527
123	0.9612794613	0.1566697417
124	0.962962963	0.1552114085
125	0.962962963	0.1529472098
126	0.9646464646	0.1522070021
127	0.9646464646	0.1509317513
128	0.9646464646	0.1498841524
129	0.9646464646	0.1493131525
130	0.9646464646	0.1489252712
131	0.9663299663	0.1478285155
132	0.9663299663	0.1473060818
133	0.9663299663	0.1465376497
134	0.9663299663	0.145683224
135	0.9663299663	0.1453373258
136	0.9663299663	0.1442404812
137	0.9663299663	0.143918834
138	0.968013468	0.1430947515
139	0.968013468	0.1425859351
140	0.968013468	0.1419357237
141	0.968013468	0.1400070524
142	0.968013468	0.1399637308
143	0.9696969697	0.1378655261
144	0.9696969697	0.1371025968
145	0.9713804714	0.136337389
146	0.9713804714	0.135497167
147	0.9730639731	0.1336420341
148	0.9730639731	0.1323977439
