iter	Passed	Remaining
426	2667	456
427	2674	449
428	2681	443
429	2685	437
430	2690	430
431	2696	424
432	2700	417
433	2705	411
434	2711	405
435	2716	398
436	2722	392
437	2728	386
438	2734	379
439	2739	373
440	2745	367
441	2750	360
442	2754	354
443	2758	347
444	2764	341
445	2770	335
446	2774	329
447	2779	322
448	2784	316
449	2790	310
450	2794	303
451	2801	297
452	2807	291
453	2812	285
454	2818	278
455	2824	272
456	2829	266
457	2834	259
458	2839	253
459	2844	247
460	2847	240
461	2852	234
462	2858	228
463	2864	222
464	2871	216
465	2876	209
466	2880	203
467	2884	197
468	2889	190
469	2894	184
470	2900	178
471	2905	172
472	2914	166
473	2918	160
474	2925	153
475	2930	147
476	2935	141
477	2940	135
478	2943	129
479	2948	122
480	2952	116
481	2957	110
482	2963	104
483	2967	98
484	2973	91
485	2978	85
486	2984	79
487	2990	73
488	2995	67
489	2999	61
490	3005	55
491	3010	48
492	3015	42
493	3022	36
494	3027	30
495	3032	24
496	3038	18
497	3043	12
498	3045	6
499	3049	0
