iter	Accuracy	Logloss
0	0.8215488215	0.5948726618
1	0.8265993266	0.5228459834
2	0.8249158249	0.4927697303
3	0.82996633	0.4527166623
4	0.8383838384	0.4250869145
5	0.8383838384	0.407491434
6	0.8400673401	0.3986840743
7	0.8383838384	0.3865359204
8	0.8451178451	0.3770604624
9	0.8434343434	0.3746136316
10	0.8484848485	0.3700998993
11	0.8451178451	0.3670422664
12	0.8484848485	0.3650702003
13	0.8552188552	0.3616945472
14	0.8552188552	0.3555507024
15	0.8552188552	0.3498308564
16	0.8569023569	0.3467950797
17	0.8636363636	0.3435731459
18	0.8636363636	0.339828834
19	0.8653198653	0.3381531922
20	0.8703703704	0.3323585797
21	0.8703703704	0.324547811
22	0.8754208754	0.3213622347
23	0.8771043771	0.3181729277
24	0.8821548822	0.314646165
25	0.8855218855	0.312297046
26	0.8855218855	0.3081377837
27	0.8855218855	0.3081051275
28	0.8872053872	0.3059168474
29	0.8872053872	0.3043436633
30	0.8872053872	0.3010161112
31	0.8905723906	0.2987170991
32	0.8956228956	0.2926650371
33	0.8973063973	0.2907539401
34	0.9023569024	0.279300208
35	0.9006734007	0.2777019285
36	0.898989899	0.2756609901
37	0.898989899	0.2746674267
38	0.9023569024	0.2722544047
39	0.904040404	0.2695537119
40	0.904040404	0.268904202
41	0.9074074074	0.2642348719
42	0.9074074074	0.2633714881
43	0.904040404	0.2609565247
44	0.9057239057	0.2607609693
45	0.9090909091	0.2591052729
46	0.9074074074	0.2581032495
47	0.9107744108	0.2556121676
48	0.9124579125	0.2504302066
49	0.9124579125	0.2490848041
50	0.9124579125	0.2461514001
51	0.9124579125	0.2454040612
52	0.9107744108	0.2441101202
53	0.9141414141	0.2417331913
54	0.9141414141	0.2402246473
55	0.9141414141	0.2367418855
56	0.9141414141	0.236352752
57	0.9141414141	0.235158742
58	0.9158249158	0.2333891238
59	0.9175084175	0.2315341185
60	0.9225589226	0.2286472564
61	0.9225589226	0.226056431
62	0.9175084175	0.2229733615
63	0.9225589226	0.2209939852
64	0.9242424242	0.2193323211
65	0.9259259259	0.218549476
66	0.9259259259	0.2178593983
67	0.9259259259	0.2161785302
68	0.9276094276	0.2149550886
69	0.9276094276	0.2147405704
70	0.930976431	0.2122484975
71	0.930976431	0.2100632451
