iter	Passed	Remaining
0	5	2856
1	11	2946
2	16	2809
3	22	2821
4	26	2654
5	32	2671
6	38	2681
7	44	2707
8	49	2678
9	53	2607
10	58	2592
11	65	2652
12	70	2624
13	74	2582
14	81	2639
15	86	2611
16	90	2583
17	96	2574
18	102	2585
19	107	2572
20	112	2567
21	118	2569
22	122	2542
23	129	2560
24	133	2529
25	138	2517
26	144	2530
27	146	2477
28	150	2448
29	155	2439
30	160	2425
31	164	2401
32	170	2418
33	176	2419
34	179	2390
35	184	2375
36	187	2347
37	193	2357
38	197	2328
39	199	2297
40	204	2294
41	222	2421
42	244	2597
43	256	2655
44	258	2617
45	264	2610
46	270	2607
47	276	2601
48	282	2602
49	287	2590
50	292	2579
51	298	2575
52	304	2567
53	309	2554
54	315	2549
55	319	2536
56	325	2530
57	334	2550
58	341	2549
59	348	2552
60	352	2538
61	360	2544
62	367	2549
63	374	2551
64	379	2542
65	385	2533
66	391	2527
67	398	2528
68	405	2532
69	411	2527
70	418	2528
71	425	2531
72	432	2527
73	437	2521
74	446	2528
75	451	2517
76	460	2529
77	470	2544
78	476	2539
79	484	2545
80	492	2547
81	498	2538
82	505	2537
83	512	2538
84	520	2539
85	526	2536
86	533	2533
87	540	2531
88	547	2527
89	555	2532
90	562	2527
91	570	2530
92	577	2529
93	585	2528
94	591	2520
95	599	2522
96	606	2521
97	613	2516
98	621	2516
99	630	2522
100	641	2534
101	648	2531
102	655	2528
103	663	2526
104	669	2517
105	676	2516
106	684	2514
107	691	2508
108	700	2511
109	708	2510
110	716	2510
111	724	2510
112	731	2504
113	739	2505
114	748	2504
115	755	2502
116	763	2500
117	770	2494
118	777	2490
119	784	2483
120	791	2478
121	799	2478
122	807	2474
123	814	2470
124	821	2463
125	826	2451
126	831	2442
127	838	2435
128	844	2429
129	850	2421
130	858	2419
131	867	2417
132	873	2411
133	879	2402
134	884	2390
135	888	2377
136	890	2360
137	896	2352
138	900	2339
139	905	2328
140	911	2320
141	917	2313
142	922	2303
143	927	2292
144	932	2283
145	937	2273
146	944	2266
147	950	2259
148	956	2253
149	962	2245
150	968	2238
151	973	2229
152	978	2219
153	982	2207
154	988	2200
155	993	2190
156	998	2182
157	1004	2175
158	1011	2169
159	1017	2161
160	1021	2150
161	1027	2143
162	1032	2134
163	1037	2126
164	1044	2119
165	1048	2110
166	1055	2104
167	1060	2096
168	1065	2086
169	1072	2082
170	1079	2076
171	1084	2068
172	1089	2059
173	1095	2052
174	1101	2045
175	1107	2039
176	1112	2031
177	1118	2023
178	1128	2024
179	1134	2016
180	1140	2009
181	1145	2002
182	1151	1994
183	1157	1987
184	1162	1978
185	1167	1970
186	1174	1965
187	1180	1959
188	1185	1951
189	1193	1947
190	1201	1944
191	1207	1936
192	1213	1929
193	1218	1922
194	1223	1913
195	1229	1906
196	1232	1896
197	1238	1888
198	1242	1879
199	1249	1873
200	1253	1864
201	1258	1856
202	1264	1850
203	1269	1841
204	1273	1833
205	1279	1826
206	1284	1818
207	1291	1812
208	1296	1805
209	1303	1799
210	1308	1792
211	1313	1784
212	1319	1777
213	1324	1770
214	1330	1764
215	1335	1755
216	1341	1750
217	1347	1742
218	1352	1734
219	1358	1728
220	1364	1722
221	1368	1714
222	1373	1706
223	1378	1698
224	1384	1692
225	1389	1684
226	1393	1676
227	1399	1669
228	1404	1661
229	1409	1654
230	1415	1648
231	1419	1640
232	1425	1633
233	1434	1631
234	1443	1628
235	1452	1625
236	1459	1620
237	1465	1613
238	1471	1607
239	1476	1599
240	1482	1593
241	1488	1586
242	1492	1577
243	1496	1570
244	1503	1564
245	1508	1557
246	1513	1550
247	1518	1543
248	1524	1536
249	1530	1530
250	1538	1526
251	1543	1519
252	1551	1514
253	1558	1509
254	1564	1502
255	1572	1498
256	1578	1492
257	1586	1488
258	1593	1482
259	1600	1477
260	1605	1470
261	1612	1464
262	1620	1460
263	1625	1453
264	1632	1447
265	1639	1442
266	1647	1437
267	1654	1432
268	1662	1427
269	1668	1421
270	1675	1415
271	1682	1410
272	1689	1404
273	1697	1400
274	1704	1394
275	1712	1389
276	1719	1384
277	1725	1378
278	1734	1374
279	1741	1368
280	1747	1361
281	1756	1357
282	1764	1352
283	1775	1350
284	1782	1344
285	1790	1339
286	1797	1334
287	1805	1328
288	1811	1322
289	1817	1316
290	1825	1311
