iter	Accuracy	Logloss
129	0.9595959596	0.1542352682
130	0.9595959596	0.1536201749
131	0.9595959596	0.1523121153
132	0.9595959596	0.1518092767
133	0.9612794613	0.1499269905
134	0.9612794613	0.1494197911
135	0.962962963	0.1490134862
136	0.962962963	0.1480206391
137	0.962962963	0.147697665
138	0.962962963	0.1474161176
139	0.9646464646	0.1462648625
140	0.9646464646	0.1459177021
141	0.9646464646	0.1453491217
142	0.9646464646	0.1439452624
143	0.9663299663	0.1426203473
144	0.9663299663	0.1418963662
145	0.9663299663	0.1409851321
146	0.9663299663	0.1405625984
147	0.968013468	0.1402394306
148	0.968013468	0.1398567232
149	0.968013468	0.1371821146
150	0.968013468	0.1359725649
151	0.968013468	0.1358124587
152	0.9696969697	0.1349927331
153	0.9696969697	0.134326304
154	0.9696969697	0.1341609177
155	0.9696969697	0.1335022093
156	0.968013468	0.1325745358
157	0.968013468	0.1321667814
158	0.9696969697	0.1311380008
159	0.9696969697	0.1307827517
160	0.9696969697	0.1305382103
161	0.9696969697	0.1300307018
162	0.9730639731	0.1277749344
163	0.9730639731	0.1273201785
164	0.9730639731	0.1263386118
165	0.9730639731	0.1257778388
166	0.9730639731	0.124225498
167	0.9747474747	0.1231023184
168	0.9747474747	0.1224484194
169	0.9747474747	0.121814857
170	0.9747474747	0.1217577242
171	0.9730639731	0.1207887217
172	0.9730639731	0.1202167361
173	0.9730639731	0.1197368099
174	0.9730639731	0.1194465894
175	0.9747474747	0.1183523296
176	0.9730639731	0.1182807995
177	0.9747474747	0.1179356889
178	0.9747474747	0.116914196
179	0.9764309764	0.1158573651
180	0.9764309764	0.1150520649
181	0.9764309764	0.1143674111
182	0.9764309764	0.1133495257
183	0.9781144781	0.1125723996
184	0.9781144781	0.1121967643
185	0.9764309764	0.1115695603
186	0.9747474747	0.1110392791
187	0.9747474747	0.1107112755
188	0.9764309764	0.1102166701
189	0.9764309764	0.1090230768
190	0.9764309764	0.1083052939
191	0.9764309764	0.1080101717
192	0.9764309764	0.1075679758
193	0.9764309764	0.1063474116
194	0.9764309764	0.1060636091
195	0.9764309764	0.1057704663
196	0.9764309764	0.1054491501
197	0.9764309764	0.1045275885
198	0.9764309764	0.1043130038
199	0.9764309764	0.1037991977
200	0.9764309764	0.1032923733
201	0.9764309764	0.1028379668
202	0.9764309764	0.1024388838
203	0.9764309764	0.1017721466
204	0.9764309764	0.1015954419
205	0.9764309764	0.1011272412
206	0.9764309764	0.1006696009
207	0.9764309764	0.1004045007
208	0.9764309764	0.1000883733
209	0.9764309764	0.09948290065
210	0.9764309764	0.09914772846
211	0.9764309764	0.09848000732
212	0.9764309764	0.0984374953
213	0.9764309764	0.09806777508
214	0.9764309764	0.09789380789
215	0.9764309764	0.09766811196
216	0.9764309764	0.09722727114
217	0.9764309764	0.09701795522
218	0.9764309764	0.09620212462
219	0.9764309764	0.09591016273
220	0.9764309764	0.09539642341
221	0.9764309764	0.09520562424
222	0.9781144781	0.09491058118
223	0.9781144781	0.0942611052
224	0.9781144781	0.09405971069
225	0.9781144781	0.09388040529
226	0.9781144781	0.09362037135
227	0.9781144781	0.09337882059
228	0.9781144781	0.09320346436
229	0.9781144781	0.0927494317
230	0.9781144781	0.09273322128
231	0.9781144781	0.09233961378
232	0.9781144781	0.09187068142
233	0.9781144781	0.09102819845
234	0.9781144781	0.09041509199
235	0.9781144781	0.09038520665
236	0.9781144781	0.09019825279
237	0.9781144781	0.08963494413
238	0.9781144781	0.08950545509
239	0.9781144781	0.08940040523
