iter	Passed	Remaining
0	20	10318
1	48	12120
2	59	9789
3	64	7973
4	69	6892
5	74	6155
6	78	5541
7	84	5193
8	90	4921
9	94	4652
10	101	4494
11	105	4293
12	109	4087
13	115	3996
14	122	3945
15	129	3924
16	136	3877
17	141	3791
18	149	3785
19	156	3755
20	163	3734
21	171	3731
22	177	3691
23	187	3723
24	194	3697
25	197	3600
26	202	3552
27	208	3519
28	213	3459
29	217	3402
30	224	3392
31	228	3338
32	234	3314
33	241	3309
34	247	3287
35	253	3261
36	258	3240
37	263	3206
38	269	3181
39	274	3159
40	281	3147
41	287	3139
42	291	3102
43	297	3082
44	300	3039
45	306	3021
46	310	2997
47	313	2956
48	317	2926
49	323	2909
50	330	2907
51	335	2888
52	341	2877
53	346	2857
54	350	2838
55	355	2819
56	360	2804
57	364	2779
58	370	2772
59	375	2753
60	380	2738
61	385	2726
62	390	2706
63	398	2715
64	404	2707
65	411	2707
66	419	2709
67	424	2699
68	431	2694
69	437	2687
70	443	2677
71	448	2667
72	453	2655
73	460	2653
74	467	2647
75	474	2647
76	480	2639
77	486	2633
78	492	2624
79	499	2619
80	505	2617
81	511	2605
82	517	2601
83	524	2598
84	531	2594
85	538	2591
86	545	2590
87	550	2578
88	557	2574
89	564	2570
90	569	2561
91	577	2559
92	584	2557
93	591	2554
94	597	2546
95	602	2536
96	608	2527
97	614	2519
98	620	2513
99	627	2509
100	633	2503
101	641	2504
102	648	2499
103	654	2492
104	660	2484
105	668	2483
106	675	2481
107	682	2477
108	690	2475
109	696	2468
110	702	2462
111	709	2458
112	716	2454
113	722	2445
114	728	2440
115	737	2441
116	744	2438
117	752	2435
118	763	2444
119	771	2444
120	779	2440
121	788	2444
122	797	2445
123	805	2441
124	812	2437
125	820	2435
126	828	2433
127	834	2425
128	841	2419
129	847	2413
130	855	2410
131	862	2404
132	869	2399
133	877	2397
134	883	2389
135	890	2382
136	896	2375
137	902	2368
138	910	2363
139	915	2354
140	922	2349
141	929	2342
142	934	2333
143	940	2325
144	944	2313
145	950	2304
146	955	2294
147	960	2283
148	964	2272
149	969	2261
150	975	2254
151	980	2244
152	985	2235
153	990	2226
154	994	2213
155	999	2204
156	1005	2195
157	1010	2186
158	1015	2177
159	1019	2166
160	1024	2157
161	1030	2150
162	1037	2144
163	1042	2135
164	1047	2127
165	1053	2119
166	1058	2110
167	1063	2101
