iter	Passed	Remaining
168	1067	2090
169	1074	2085
170	1079	2076
171	1083	2066
172	1089	2058
173	1093	2049
174	1098	2040
175	1103	2031
176	1106	2019
177	1113	2013
178	1116	2002
179	1121	1994
180	1126	1984
181	1131	1976
182	1137	1970
183	1141	1959
184	1145	1950
185	1150	1942
186	1155	1934
187	1162	1929
188	1170	1926
189	1178	1922
190	1206	1951
191	1220	1957
192	1226	1951
193	1232	1944
194	1237	1935
195	1241	1926
196	1245	1916
197	1253	1912
198	1260	1906
199	1265	1897
200	1269	1889
201	1275	1882
202	1280	1873
203	1286	1866
204	1290	1857
205	1294	1847
206	1299	1838
207	1304	1831
208	1309	1823
209	1316	1817
210	1321	1809
211	1326	1801
212	1330	1792
213	1335	1784
214	1341	1777
215	1344	1767
216	1350	1761
217	1357	1755
218	1360	1745
219	1366	1738
220	1372	1733
221	1377	1725
222	1382	1717
223	1389	1712
224	1395	1705
225	1400	1697
226	1405	1690
227	1411	1684
228	1416	1676
229	1424	1672
230	1429	1665
231	1435	1658
232	1442	1652
233	1447	1645
234	1452	1638
235	1457	1630
236	1463	1623
237	1468	1616
238	1473	1609
239	1478	1602
240	1483	1594
241	1489	1587
242	1495	1581
243	1499	1572
244	1506	1567
245	1512	1561
246	1519	1556
247	1526	1550
248	1534	1546
249	1541	1541
250	1547	1535
251	1554	1529
252	1560	1523
253	1566	1516
254	1572	1510
255	1579	1505
256	1586	1499
257	1590	1492
258	1598	1487
259	1604	1481
260	1610	1474
261	1615	1467
262	1623	1462
263	1631	1458
264	1637	1452
265	1645	1447
266	1653	1442
267	1661	1438
268	1714	1472
269	1728	1472
270	1740	1470
271	1747	1464
272	1753	1457
273	1761	1452
274	1768	1447
275	1776	1442
276	1784	1436
277	1790	1430
278	1798	1424
279	1803	1416
280	1811	1411
281	1817	1405
282	1825	1399
283	1832	1393
284	1839	1387
285	1846	1381
286	1854	1376
287	1860	1369
288	1867	1363
289	1873	1356
290	1878	1349
291	1884	1342
292	1889	1334
293	1895	1327
294	1901	1321
295	1906	1314
296	1912	1307
297	1918	1300
298	1922	1292
299	1927	1285
300	1932	1277
301	1939	1271
302	1945	1264
303	1950	1257
304	1955	1250
305	1959	1242
306	1965	1235
307	1971	1228
308	1978	1222
309	1983	1215
310	1987	1207
311	1996	1202
312	2002	1196
313	2007	1189
314	2012	1181
315	2018	1175
316	2025	1169
317	2029	1161
318	2034	1154
319	2039	1147
320	2043	1139
321	2049	1133
322	2054	1125
323	2059	1118
324	2062	1110
325	2068	1103
326	2074	1097
327	2079	1090
328	2083	1083
329	2087	1075
330	2094	1069
331	2099	1062
332	2103	1055
333	2108	1047
334	2114	1041
335	2119	1034
336	2124	1027
337	2130	1021
338	2135	1014
339	2140	1007
340	2145	1000
341	2150	993
342	2156	986
343	2160	979
344	2165	972
345	2171	966
346	2176	959
347	2181	952
348	2187	946
349	2191	939
350	2197	932
351	2203	926
352	2206	918
353	2212	912
354	2217	905
355	2221	898
356	2228	892
357	2234	886
358	2238	879
359	2244	873
360	2249	865
361	2254	859
362	2259	852
363	2263	845
364	2270	839
365	2275	832
366	2280	826
367	2285	819
368	2290	813
369	2296	806
370	2302	800
371	2307	793
372	2313	787
373	2319	781
374	2324	774
375	2329	768
376	2334	761
377	2339	754
378	2344	748
379	2349	742
380	2354	735
381	2360	729
382	2365	722
383	2371	716
384	2376	709
385	2382	703
386	2385	696
387	2391	690
388	2395	683
389	2400	677
390	2407	671
391	2412	664
392	2417	658
393	2423	651
394	2427	645
395	2431	638
396	2436	632
397	2442	625
398	2446	619
399	2451	612
400	2458	606
401	2465	600
402	2469	594
403	2475	588
404	2481	582
405	2485	575
406	2491	569
407	2496	562
408	2501	556
409	2506	550
410	2511	543
411	2515	537
412	2522	531
413	2528	525
414	2532	518
415	2537	512
416	2543	506
417	2548	499
418	2554	493
419	2559	487
420	2565	481
421	2570	475
422	2575	468
423	2580	462
424	2585	456
425	2590	450
426	2599	444
427	2604	438
428	2611	432
429	2616	425
430	2621	419
431	2626	413
432	2632	407
433	2638	401
434	2643	395
435	2649	388
436	2654	382
437	2659	376
438	2665	370
439	2669	364
440	2675	357
441	2682	351
442	2686	345
443	2692	339
444	2703	334
445	2713	328
446	2718	322
447	2724	316
448	2730	310
449	2736	304
450	2745	298
451	2750	292
452	2755	285
453	2761	279
454	2767	273
455	2773	267
456	2780	261
457	2787	255
458	2793	249
459	2799	243
460	2803	237
461	2808	230
462	2812	224
463	2817	218
464	2822	212
465	2827	206
466	2832	200
467	2838	194
468	2841	187
469	2848	181
470	2854	175
471	2860	169
472	2866	163
473	2871	157
474	2875	151
475	2881	145
476	2886	139
477	2893	133
478	2898	127
479	2903	120
480	2908	114
481	2913	108
482	2916	102
483	2922	96
484	2927	90
485	2931	84
486	2936	78
487	2938	72
488	2944	66
489	2949	60
490	2954	54
491	2959	48
492	2963	42
493	2969	36
494	2975	30
495	2981	24
496	2987	18
497	2991	12
498	2995	6
499	3002	0
