iter	Accuracy	Logloss
0	0.8053892216	0.5521577598
1	0.8008982036	0.4885686062
2	0.8008982036	0.4607663871
3	0.8113772455	0.4418819065
4	0.8173652695	0.427816212
5	0.8173652695	0.4249323341
6	0.8248502994	0.4224512128
7	0.8233532934	0.4212164978
8	0.8233532934	0.4210632664
9	0.8233532934	0.4193690871
